id;province_id;city_id;city_name;pinyin;pinyin_first
448;5;152528;镶黄旗;xiang'huang'qi;x'h'q
449;5;152529;正镶白旗;zheng'xiang'bai'qi;z'x'b'q
450;5;152530;正蓝旗;zheng'lan'qi;z'l'q
451;5;152531;多伦县;duo'lun'xian;d'l'x
452;5;152900;阿拉善盟;a'la'shan'meng;a'l's'm
453;5;152921;阿拉善左旗;a'la'shan'zuo'qi;a'l's'z'q
454;5;152922;阿拉善右旗;a'la'shan'you'qi;a'l's'y'q
455;5;152923;额济纳旗;e'ji'na'qi;e'j'n'q
456;6;210100;沈阳市;chen'yang'shi;c'y's
457;6;210102;和平区;he'ping'qu;h'p'q
458;6;210103;沈河区;chen'he'qu;c'h'q
459;6;210104;大东区;da'dong'qu;d'd'q
460;6;210105;皇姑区;huang'gu'qu;h'g'q
461;6;210106;铁西区;tie'xi'qu;t'x'q
462;6;210111;苏家屯区;su'jia'tun'qu;s'j't'q
463;6;210112;东陵区;dong'ling'qu;d'l'q
464;6;210113;沈北新区;chen'bei'xin'qu;c'b'x'q
465;6;210114;于洪区;yu'hong'qu;y'h'q
466;6;210122;辽中县;liao'zhong'xian;l'z'x
467;6;210123;康平县;kang'ping'xian;k'p'x
468;6;210124;法库县;fa'ku'xian;f'k'x
469;6;210181;新民市;xin'min'shi;x'm's
470;6;210200;大连市;da'lian'shi;d'l's
471;6;210202;中山区;zhong'shan'qu;z's'q
472;6;210203;西岗区;xi'gang'qu;x'g'q
473;6;210204;沙河口区;sha'he'kou'qu;s'h'k'q
474;6;210211;甘井子区;gan'jing'zi'qu;g'j'z'q
475;6;210212;旅顺口区;lv'shun'kou'qu;l's'k'q
476;6;210213;金州区;jin'zhou'qu;j'z'q
477;6;210224;长海县;zhang'hai'xian;z'h'x
478;6;210281;瓦房店市;wa'fang'dian'shi;w'f'd's
479;6;210282;普兰店市;pu'lan'dian'shi;p'l'd's
480;6;210283;庄河市;zhuang'he'shi;z'h's
481;6;210300;鞍山市;an'shan'shi;a's's
482;6;210302;铁东区;tie'dong'qu;t'd'q
483;6;210303;铁西区;tie'xi'qu;t'x'q
484;6;210304;立山区;li'shan'qu;l's'q
485;6;210311;千山区;qian'shan'qu;q's'q
486;6;210321;台安县;tai'an'xian;t'a'x
487;6;210323;岫岩满族自治县;xiu'yan'man'zu'zi'zhi'xian;x'y'm'z'z'z'x
488;6;210381;海城市;hai'cheng'shi;h'c's
489;6;210400;抚顺市;fu'shun'shi;f's's
490;6;210402;新抚区;xin'fu'qu;x'f'q
491;6;210403;东洲区;dong'zhou'qu;d'z'q
492;6;210404;望花区;wang'hua'qu;w'h'q
493;6;210411;顺城区;shun'cheng'qu;s'c'q
494;6;210421;抚顺县;fu'shun'xian;f's'x
495;6;210422;新宾满族自治县;xin'bin'man'zu'zi'zhi'xian;x'b'm'z'z'z'x
496;6;210423;清原满族自治县;qing'yuan'man'zu'zi'zhi'xian;q'y'm'z'z'z'x
497;6;210500;本溪市;ben'xi'shi;b'x's
498;6;210502;平山区;ping'shan'qu;p's'q
499;6;210503;溪湖区;xi'hu'qu;x'h'q
500;6;210504;明山区;ming'shan'qu;m's'q
501;6;210505;南芬区;nan'fen'qu;n'f'q
502;6;210521;本溪满族自治县;ben'xi'man'zu'zi'zhi'xian;b'x'm'z'z'z'x
503;6;210522;桓仁满族自治县;huan'ren'man'zu'zi'zhi'xian;h'r'm'z'z'z'x
504;6;210600;丹东市;dan'dong'shi;d'd's
505;6;210602;元宝区;yuan'bao'qu;y'b'q
506;6;210603;振兴区;zhen'xing'qu;z'x'q
507;6;210604;振安区;zhen'an'qu;z'a'q
508;6;210624;宽甸满族自治县;kuan'dian'man'zu'zi'zhi'xian;k'd'm'z'z'z'x
509;6;210681;东港市;dong'gang'shi;d'g's
510;6;210682;凤城市;feng'cheng'shi;f'c's
511;6;210700;锦州市;jin'zhou'shi;j'z's
512;6;210702;古塔区;gu'ta'qu;g't'q
513;6;210703;凌河区;ling'he'qu;l'h'q
514;6;210711;太和区;tai'he'qu;t'h'q
515;6;210726;黑山县;hei'shan'xian;h's'x
516;6;210727;义县;yi'xian;y'x
517;6;210781;凌海市;ling'hai'shi;l'h's
518;6;210782;北镇市;bei'zhen'shi;b'z's
519;6;210800;营口市;ying'kou'shi;y'k's
520;6;210802;站前区;zhan'qian'qu;z'q'q
521;6;210803;西市区;xi'shi'qu;x's'q
522;6;210804;鲅鱼圈区;ba'yu'quan'qu;b'y'q'q
523;6;210811;老边区;lao'bian'qu;l'b'q
524;6;210881;盖州市;gai'zhou'shi;g'z's
525;6;210882;大石桥市;da'shi'qiao'shi;d's'q's
526;6;210900;阜新市;fu'xin'shi;f'x's
527;6;210902;海州区;hai'zhou'qu;h'z'q
528;6;210903;新邱区;xin'qiu'qu;x'q'q
529;6;210904;太平区;tai'ping'qu;t'p'q
530;6;210905;清河门区;qing'he'men'qu;q'h'm'q
531;6;210911;细河区;xi'he'qu;x'h'q
532;6;210921;阜新蒙古族自治县;fu'xin'meng'gu'zu'zi'zhi'xian;f'x'm'g'z'z'z'x
533;6;210922;彰武县;zhang'wu'xian;z'w'x
534;6;211000;辽阳市;liao'yang'shi;l'y's
535;6;211002;白塔区;bai'ta'qu;b't'q
536;6;211003;文圣区;wen'sheng'qu;w's'q
537;6;211004;宏伟区;hong'wei'qu;h'w'q
538;6;211005;弓长岭区;gong'zhang'ling'qu;g'z'l'q
539;6;211011;太子河区;tai'zi'he'qu;t'z'h'q
540;6;211021;辽阳县;liao'yang'xian;l'y'x
541;6;211081;灯塔市;deng'ta'shi;d't's
542;6;211100;盘锦市;pan'jin'shi;p'j's
543;6;211102;双台子区;shuang'tai'zi'qu;s't'z'q
544;6;211103;兴隆台区;xing'long'tai'qu;x'l't'q
545;6;211121;大洼县;da'wa'xian;d'w'x
546;6;211122;盘山县;pan'shan'xian;p's'x
547;6;211200;铁岭市;tie'ling'shi;t'l's
548;6;211202;银州区;yin'zhou'qu;y'z'q
549;6;211204;清河区;qing'he'qu;q'h'q
550;6;211221;铁岭县;tie'ling'xian;t'l'x
551;6;211223;西丰县;xi'feng'xian;x'f'x
552;6;211224;昌图县;chang'tu'xian;c't'x
553;6;211281;调兵山市;diao'bing'shan'shi;d'b's's
554;6;211282;开原市;kai'yuan'shi;k'y's
555;6;211300;朝阳市;chao'yang'shi;c'y's
556;6;211302;双塔区;shuang'ta'qu;s't'q
557;6;211303;龙城区;long'cheng'qu;l'c'q
558;6;211321;朝阳县;chao'yang'xian;c'y'x
559;6;211322;建平县;jian'ping'xian;j'p'x
560;6;211324;喀喇沁左翼蒙古族自治县;ka'la'qin'zuo'yi'meng'gu'zu'zi'zhi'xian;k'l'q'z'y'm'g'z'z'z'x
561;6;211381;北票市;bei'piao'shi;b'p's
562;6;211382;凌源市;ling'yuan'shi;l'y's
